time-ms,reactor-heat,power-output
1002,0.059,-1500
2016,0.114,-1500
3032,0.167,-1499
4034,0.215,-1497
5051,0.262,-1491
6068,0.306,-1480
7083,0.347,-1461
8084,0.385,-1434
9099,0.421,-1397
10100,0.455,-1348
11116,0.487,-1286
12118,0.517,-1211
13132,0.545,-1122
14133,0.572,-1021
15134,0.597,-907
16149,0.621,-779
17150,0.643,-642
18167,0.664,-491
19182,0.684,-331
20182,0.702,-165
21183,0.719,8
22183,0.736,187
23199,0.751,373
24199,0.766,561
25217,0.78,754
26233,0.793,948
27251,0.805,1143
28266,0.816,1338
29266,0.827,1528
30283,0.837,1719
31284,0.847,1905
32284,0.856,2088
33299,0.864,2270
34300,0.872,2445
35301,0.879,2616
36317,0.887,2784
37335,0.893,2949
38350,0.9,3107
39350,0.905,3258
40365,0.911,3406
41366,0.916,3547
42366,0.921,3682
43384,0.926,3814
44400,0.93,3941
45415,0.934,4062
46416,0.938,4176
47432,0.942,4287
48433,0.945,4392
49448,0.948,4493
50466,0.951,4590
51467,0.954,4680
52482,0.957,4768
53500,0.959,4851
54515,0.962,4930
55515,0.964,5004
56515,0.966,5075
57516,0.968,5142
58532,0.97,5206
59532,0.971,5266
60533,0.973,5323
61549,0.975,5378
62550,0.976,5429
63550,0.977,5478
64566,0.979,5524
65567,0.98,5568
66567,0.981,5609
67584,0.982,5648
68599,0.983,5686
69616,0.984,5721
70633,0.985,5754
71648,0.986,5786
72649,0.987,5815
73665,0.988,5843
74666,0.988,5869
75682,0.989,5894
